Rank,Title,Author,Rating,Review Count,Book Type,Price,Link
#1,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,4.5 out of 5 stars,134,Paperback,₹216.00,https://www.amazon.in/Deewar-%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4-%E0%A4%89%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8/dp/939282078X/ref=zg_bs_g_books_d_sccl_1/258-0244681-7806356?psc=1
#2,Unbarbaad : For Those Who Feel Lost by Shobhit Nirwan,Shobhit Nirwan,4.9 out of 5 stars,"1,351",Paperback,₹238.00,https://www.amazon.in/Unbarbaad-Those-Feel-Shobhit-Nirwan/dp/9367478437/ref=zg_bs_g_books_d_sccl_2/258-0244681-7806356?psc=1
#3,Rd Sharma Class 10 Maths 2025-26 CBSE Examinations | R D Sharma Class 10 Mathematics with MCQ Book (Set of 2 Books),R D Sharma,4.6 out of 5 stars,50,Paperback,₹594.00,https://www.amazon.in/Sharma-Class-2025-26-Examinations-Mathematics/dp/8193663098/ref=zg_bs_g_books_d_sccl_3/258-0244681-7806356?psc=1
#4,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"82,385",Board book,₹401.00,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_4/258-0244681-7806356?psc=1
#5,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4 out of 5 stars,"13,606",Paperback,₹199.00,https://www.amazon.in/Dopamine-Detox-Remove-Distractions-Things/dp/8183286011/ref=zg_bs_g_books_d_sccl_5/258-0244681-7806356?psc=1
#6,The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"71,201",Paperback,₹275.00,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_d_sccl_6/258-0244681-7806356?psc=1
#7,All In One Social Science CBSE Class 10th Based On Latest NCERT For CBSE Exams 2025 | Mind map in each chapter | Clear & Concise Theory | Intext & Chapter Exercises | Sample Question Papers,Susmita Dhar Kriti Arora,4.4 out of 5 stars,745,Paperback,₹375.00,https://www.amazon.in/Science-chapter-Concise-Exercises-Question/dp/9359986704/ref=zg_bs_g_books_d_sccl_7/258-0244681-7806356?psc=1
#8,"Too Good to Be True : A smart, funny will-they-won’t-they romance by mostlysane",Prajakta Koli,4.4 out of 5 stars,929,Paperback,₹274.00,https://www.amazon.in/Too-Good-True-will-they-wont-they-mostlysane/dp/936569339X/ref=zg_bs_g_books_d_sccl_8/258-0244681-7806356?psc=1
#9,GUNAHO KA DEVTA,DHARAMVEER BHARTI,4.6 out of 5 stars,"1,459",Paperback,₹222.00,https://www.amazon.in/GUNAHO-KA-DEVTA-DHARAMVEER-BHARTI/dp/B01MFDA7D5/ref=zg_bs_g_books_d_sccl_9/258-0244681-7806356?psc=1
#10,Atomic Habits,James Clear,4.6 out of 5 stars,"102,644",Paperback,₹548.00,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_d_sccl_10/258-0244681-7806356?psc=1
#11,The Commonsense Diet : Order a copy and win a free consultation,Rujuta Diwekar,4.8 out of 5 stars,17,Paperback,₹220.00,https://www.amazon.in/Commonsense-Diet-Order-copy-consultation/dp/9353457505/ref=zg_bs_g_books_d_sccl_11/258-0244681-7806356?psc=1
#12,"PW NTA NEET Rankers Test Series 2025 Updated as per Latest NEET Pattern 180 Questions Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",Physics Wallah,4.4 out of 5 stars,62,Paperback,₹619.00,https://www.amazon.in/Questions-Verified-Faculties-Syllabus-References/dp/9368972370/ref=zg_bs_g_books_d_sccl_12/258-0244681-7806356?psc=1
#13,"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",Fyodor Dostoyevsky,4.6 out of 5 stars,"1,794",Mass Market Paperback,₹103.00,https://www.amazon.in/White-Nights-Penguin-Little-Classics/dp/0241252083/ref=zg_bs_g_books_d_sccl_13/258-0244681-7806356?psc=1
#14,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,"6,339",Hardcover,₹201.00,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_books_d_sccl_14/258-0244681-7806356?psc=1
#15,Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,"3,435",Paperback,₹156.00,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_books_d_sccl_15/258-0244681-7806356?psc=1
#16,"PW NTA NEET Rankers Test Series 2025 Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",Physics Wallah (PW),4.4 out of 5 stars,142,Paperback,₹409.00,https://www.amazon.in/Verified-Faculties-Syllabus-Solution-References/dp/9348141066/ref=zg_bs_g_books_d_sccl_16/258-0244681-7806356?psc=1
#17,Grandma's Bag of Stories (R/J),Murty Sudha,4.6 out of 5 stars,"21,538",Paperback,₹173.00,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_g_books_d_sccl_17/258-0244681-7806356?psc=1
#18,The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,4.5 out of 5 stars,"50,316",Paperback,₹149.00,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_books_d_sccl_18/258-0244681-7806356?psc=1
#19,All In One Science CBSE Class 10th Based On Latest NCERT For CBSE Exams 2025 | Mind map in each chapter | Clear & Concise Theory | Intext & Chapter Exercises | Sample Question Papers,"Dr. parul Goel Ranjan , Abhshek Gupta",4.4 out of 5 stars,624,Paperback,₹405.00,https://www.amazon.in/Science-chapter-Concise-Exercises-Question/dp/9359988170/ref=zg_bs_g_books_d_sccl_19/258-0244681-7806356?psc=1
#20,Careless People: A story of where I used to work,Sarah Wynn-Williams,4.6 out of 5 stars,276,Paperback,₹614.00,https://www.amazon.in/Careless-People-story-where-used/dp/1035065932/ref=zg_bs_g_books_d_sccl_20/258-0244681-7806356?psc=1
#21,My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,4.5 out of 5 stars,"1,741",Paperback,₹213.00,https://www.amazon.in/My-First-365-Colouring-Book/dp/9390183006/ref=zg_bs_g_books_d_sccl_21/258-0244681-7806356?psc=1
#22,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,"29,753",Paperback,₹145.00,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_books_d_sccl_22/258-0244681-7806356?psc=1
#23,1001 Jumbo Brain Booster Activities for 5 to 8 Years Old Kids|Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6 out of 5 stars,"1,194",Paperback,₹338.00,https://www.amazon.in/Jumbo-Brain-Booster-Activities-Years/dp/813195823X/ref=zg_bs_g_books_d_sccl_23/258-0244681-7806356?psc=1
#24,Don't Believe Everything You Think (English),Joseph Nguyen,4.5 out of 5 stars,"10,321",Paperback,₹194.00,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_books_d_sccl_24/258-0244681-7806356?psc=1
#25,101 Pencil Control Activity Book For Kids: Tracing Practise Book Age 2+,Wonder House Books,4.4 out of 5 stars,"1,391",Paperback,₹192.00,https://www.amazon.in/Pencil-Control-Activity-Book-Kids/dp/9354405118/ref=zg_bs_g_books_d_sccl_25/258-0244681-7806356?psc=1
#26,T.S. Grewal'S Double Entry Book Keeping - Accounting For Partnership Firms (Vol.1): Textbook for CBSE Class 12 (2025-26 Examination),T.S. Grewal,5.0 out of 5 stars,5,Paperback,₹595.00,https://www.amazon.in/T-S-GrewalS-Double-Entry-Keeping/dp/934845787X/ref=zg_bs_g_books_d_sccl_26/258-0244681-7806356?psc=1
#27,"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,4.5 out of 5 stars,"3,491",Product Bundle,₹229.00,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_books_d_sccl_27/258-0244681-7806356?psc=1
#28,"Story Books for Kids - Second Reader (Illustrated) (Set of 6 Books) - Phonic stories - Bedtime Stories - 3 Years to 6 Years Old - Read Aloud to Infants, Toddlers",Maple Press,4.3 out of 5 stars,547,Paperback,₹210.00,https://www.amazon.in/Story-Books-Kids-Illustrated-Toddlers/dp/8119099397/ref=zg_bs_g_books_d_sccl_28/258-0244681-7806356?psc=1
#29,Ikigai: Japanese secret to long and happy life,"Francesc García, Héctor,Miralles",4.6 out of 5 stars,"57,873",Hardcover,₹379.00,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_books_d_sccl_29/258-0244681-7806356?psc=1
#30,All In One English Language & Literature CBSE Class 10th Based On Latest NCERT For CBSE Exams 2025 | Mind map in each chapter | Clear & Concise Theory | Intext & Chapter Exercises | Sample Question Papers,Prerna Kain Srishti Agarwal,4.4 out of 5 stars,535,Paperback,₹421.00,https://www.amazon.in/English-Language-Literature-Exercises-Question/dp/9359981540/ref=zg_bs_g_books_d_sccl_30/258-0244681-7806356?psc=1
#31,Oswaal NTA CUET (UG) Chapterwise Question Bank English (For 2025 Exam),Oswaal Editorial Board,4.4 out of 5 stars,36,Paperback,₹213.00,https://www.amazon.in/Oswaal-CUET-Chapterwise-Question-English/dp/9362399164/ref=zg_bs_g_books_d_sccl_31/258-0244681-7806356?psc=1
#32,Addition and Subtraction Activity Book For Children - 80+ Activities Inside,Wonder House Books,4.4 out of 5 stars,"1,004",Paperback,₹129.00,https://www.amazon.in/Addition-Subtraction-Activity-Book-Children/dp/9354402380/ref=zg_bs_g_books_d_sccl_32/258-0244681-7806356?psc=1
#33,"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home (English)",Renuka Gavrani,4.4 out of 5 stars,"2,772",Paperback,₹196.00,https://www.amazon.in/Art-Being-Alone-Loneliness-Solitude/dp/9355434022/ref=zg_bs_g_books_d_sccl_33/258-0244681-7806356?psc=1
#34,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),Brianna Wiest,4.4 out of 5 stars,"21,935",Paperback,₹251.00,https://www.amazon.in/Mountain-You-Transforming-Self-Sabotage-Self-Mastery/dp/9355434146/ref=zg_bs_g_books_d_sccl_34/258-0244681-7806356?psc=1
#35,Meditations,Marcus Aurelius,4.3 out of 5 stars,"3,530",Paperback,₹159.00,https://www.amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_books_d_sccl_35/258-0244681-7806356?psc=1
#36,Khan Sir Pocket GK General Knowledge (Samanya Gyan) By Khan Sir 2nd Revised September 2024 Edition useful for all competitive Exams,Khan Sir,3.7 out of 5 stars,50,Paperback,₹228.00,https://www.amazon.in/General-Knowledge-Samanya-September-competitive/dp/B0DH6CZZ67/ref=zg_bs_g_books_d_sccl_36/258-0244681-7806356?psc=1
#37,Can We Be Strangers Again?,Shrijeet Shandilya,4.0 out of 5 stars,69,Paperback,₹223.00,https://www.amazon.in/Can-We-Be-Strangers-Again/dp/0143475924/ref=zg_bs_g_books_d_sccl_37/258-0244681-7806356?psc=1
#38,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids [Paperback] Maple Press",Maple Press,4.4 out of 5 stars,"9,491",Paperback,₹188.00,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_books_d_sccl_38/258-0244681-7806356?psc=1
#39,"Quantitative Aptitude (Revised Edition 2025): For All Govt. Competitive Exams for Banking, SSC CGL CHSL MTS GD, RRB Railway, Police, UPSC Civil Service, IBPS, SBI BANK PO | S Chand Exam Book 2025",Dr. R.S. Aggarwal,4.1 out of 5 stars,75,Paperback,₹487.00,https://www.amazon.in/Quantitative-Aptitude-Revised-2025-Competitive/dp/B0D6VFV3ZP/ref=zg_bs_g_books_d_sccl_39/258-0244681-7806356?psc=1
#40,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and coloring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,4.3 out of 5 stars,"4,658",Paperback,₹201.00,https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_g_books_d_sccl_40/258-0244681-7806356?psc=1
#41,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,4.3 out of 5 stars,"13,189",Paperback,₹199.00,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_g_books_d_sccl_41/258-0244681-7806356?psc=1
#42,Mathematics For Class 9 - with MCQs (Set of 2 Books) - CBSE - R.D. Sharma - Examination - 2025-26,R.D. Sharma,4.5 out of 5 stars,502,Paperback,₹545.00,https://www.amazon.in/Mathematics-class-9th-MCQs-Examination/dp/9394417346/ref=zg_bs_g_books_d_sccl_42/258-0244681-7806356?psc=1
#43,Coloring Books Box Set: Pack of 12 Copy Color Books For Children,Wonder House Books,4.4 out of 5 stars,"5,595",Paperback,₹372.00,https://www.amazon.in/Colouring-Books-Kids-Colour-Children/dp/9388369785/ref=zg_bs_g_books_d_sccl_43/258-0244681-7806356?psc=1
#44,Secondary School Mathematics for Class 9 - R.S. Aggarwal - CBSE - Examination 2025-26,"Veena Aggarwal, R S; Aggarwal",4.4 out of 5 stars,"3,068",Paperback,₹470.00,https://www.amazon.in/Secondary-School-Mathematics-Class-Examination/dp/9350271850/ref=zg_bs_g_books_d_sccl_44/258-0244681-7806356?psc=1
#45,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6 out of 5 stars,"1,811",Paperback,₹338.00,https://www.amazon.in/Ultimate-Brain-Booster-Activities-Years/dp/8131958248/ref=zg_bs_g_books_d_sccl_45/258-0244681-7806356?psc=1
#46,NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.4 out of 5 stars,"2,062",Paperback,₹120.00,https://www.amazon.in/NCERT-Textbooks-English-class-12/dp/B08K4JM83V/ref=zg_bs_g_books_d_sccl_46/258-0244681-7806356?psc=1
#47,"201 Brain Booster Activity Book - Fun Activities and Exercises For Children: Tracing & Pattern, Colors & Shapes, Maze",Wonder House Books,4.4 out of 5 stars,"1,760",Paperback,₹127.00,https://www.amazon.in/201-Brain-Booster-Activity-Book/dp/935440460X/ref=zg_bs_g_books_d_sccl_47/258-0244681-7806356?psc=1
#48,"The Palace of Illusions: 15th Anniversary Edition [Paperback] Banerjee Divakaruni, Chitra",Chitra Banerjee Divakaruni,4.5 out of 5 stars,"10,974",Paperback,₹345.00,https://www.amazon.in/Palace-Illusions-10th-Anniversary/dp/9386215969/ref=zg_bs_g_books_d_sccl_48/258-0244681-7806356?psc=1
#49,PW CUET (UG) General Test and English 2025 Combo Set of 2 Books l Chapterwise & Topicwise Question Bank with Past Year Questions and Mock Tests,PW,4.4 out of 5 stars,44,Paperback,₹478.00,https://www.amazon.in/General-Chapterwise-Topicwise-Question-Questions/dp/9348083422/ref=zg_bs_g_books_d_sccl_49/258-0244681-7806356?psc=1
#50,Mathematics For Class - 9 - 962,NCERT,4.3 out of 5 stars,"2,218",Paperback,₹132.00,https://www.amazon.in/Mathematics-Textbook-Class-9-962/dp/8174504893/ref=zg_bs_g_books_d_sccl_50/258-0244681-7806356?psc=1
